salario;anosestudo;experiencia;temposervico;brancos;sexo;construcao
3,1;11;2;0;1;0;1
3,24;12;22;2;1;0;1
3;11;2;0;1;1;1
6;8;44;28;1;1;1
5,3;12;7;2;1;1;1
8,75;16;9;8;1;1;1
11,25;18;15;7;1;1;1
5;12;5;3;1;0;1
3,6;12;26;4;1;0;1
18,18;17;22;21;1;1;1
6,25;16;8;2;1;0;1
8,13;13;3;0;1;0;1
8,77;12;15;0;1;1;1
5,5;12;18;3;1;1;1
22,2;12;31;15;1;1;1
17,33;16;14;0;1;1;1
7,5;12;10;0;1;0;1
10,63;13;16;10;1;0;1
3,6;12;13;0;1;0;1
4,5;12;36;6;1;0;1
6,88;12;11;4;1;0;1
8,48;12;29;13;1;1;1
6,33;16;9;9;1;0;1
0,53;12;3;1;1;0;1
6;11;37;8;0;0;1
9,56;16;3;3;0;1;1
7,78;16;11;10;1;1;1
12,5;16;31;0;1;1;1
12,5;15;30;0;1;1;1
3,25;8;9;1;1;0;1
13;14;23;5;1;1;1
4,5;14;2;5;1;0;1
9,68;13;16;16;1;0;1
5;12;7;3;1;0;1
4,68;12;3;0;1;0;1
4,27;16;22;4;0;0;1
6,15;12;15;6;0;0;1
3,51;4;39;15;1;1;1
3;14;3;3;1;0;1
6,25;12;11;0;1;0;1
7,81;12;3;0;1;0;1
10;12;20;5;0;0;1
4,5;14;16;0;1;0;1
4;11;45;12;1;0;1
6,38;13;11;4;1;0;1
13,7;15;20;13;1;1;1
1,67;10;1;0;1;1;1
2,93;12;36;2;1;0;1
3,65;14;9;2;1;1;1
2,9;12;15;1;1;0;1
1,63;12;18;0;1;0;0
8,6;16;3;2;1;0;0
5;12;15;5;1;1;0
6;12;7;7;1;1;0
2,5;12;2;0;1;1;0
3,25;15;3;0;1;1;0
3,4;16;1;1;1;0;0
10;8;13;0;0;1;0
21,63;18;8;8;1;0;0
4,38;16;7;0;1;1;0
11,71;13;40;20;1;0;0
12,39;14;42;5;1;1;0
6,25;10;36;8;1;1;0
3,71;10;13;0;0;0;0
7,78;14;9;3;1;1;0
19,98;14;26;23;1;1;0
6,25;16;7;4;0;0;0
10;12;25;3;1;1;0
5,71;16;10;5;1;1;0
2;12;3;2;1;0;0
5,71;16;3;0;1;0;0
13,08;17;17;2;0;1;0
4,91;12;17;8;1;1;0
2,91;12;20;34;1;0;0
3,75;12;7;0;1;0;0
11,9;13;24;19;1;1;0
4;12;28;0;1;0;0
